date,GHS,KES,NGN,RWF,UGX,ZAR,ZMW,USD
2014-01-01,2.371513045352438,85.08195694633152,159.44130408245584,666.7865202530571,2468.3043584408965,10.83542589707808,5.491804330245309,1.0
2014-02-01,2.4889600038528443,85.17465019226074,162.97550048828126,661.3800018310546,2438.0300170898436,10.9645103931427,5.651694965362549,1.0
2014-03-01,2.5684523468925837,85.41652425130208,164.0538090297154,672.6190476190476,2501.709519159226,10.75552427201044,6.037552402133033,1.0
2014-04-01,2.7533636309883813,85.41745480624112,161.93227247758344,671.529091574929,2495.722745028409,10.537970499558883,6.156377272172407,1.0
2014-05-01,2.8059045401486484,85.97540872747248,161.35409199107778,673.8409090909091,2498.404529918324,10.39978907325051,6.5898590738123115,1.0
2014-06-01,3.1109952472505116,86.11661856515067,162.51952471051897,672.6628563290551,2544.9857003348216,10.676310403006417,6.313485713232131,1.0
2014-07-01,3.4104434407275654,86.29730456808339,161.80260898755944,677.6713044539741,2599.6217412533965,10.656019915705143,6.121026080587636,1.0
2014-08-01,3.66079999151684,86.68085697719029,160.74095299130394,682.6580926804315,2578.4761555989585,10.658911432538714,6.079428627377465,1.0
2014-09-01,3.545777266675776,87.3813643022017,161.32363683527166,680.3522699529475,2587.0727206143465,10.952491846951572,6.114518165588379,1.0
2014-10-01,3.196999995604805,87.7381303206734,162.78521728515625,679.9482554560122,2642.9521696671195,11.070189890654191,6.292534703793733,1.0
2014-11-01,3.1894850015640257,88.45724906921387,169.3925003051758,678.914501953125,2699.4849853515625,11.0868586063385,6.311935019493103,1.0
2014-12-01,3.1807435388150425,89.17495661196502,181.46043395996094,682.7173913043479,2732.90869140625,11.474686166514521,6.302504394365394,1.0
2015-01-01,3.2277091199701484,91.01654572920366,185.56863750110972,648.781815962358,2820.149991122159,11.549637707796963,6.43649545582858,1.0
2015-02-01,3.4046550393104553,91.17335090637206,197.01650009155273,672.8179992675781,2829.585009765625,11.571806144714355,6.705205011367798,1.0
2015-03-01,3.595681819048795,90.72359085083008,199.33818192915484,680.7336370294744,2914.9408957741475,12.05122540213845,7.283118182962591,1.0
2015-04-01,3.8082817792892456,91.7350467335094,198.19545607133344,943.7445456764915,2951.4909113103695,11.990390127355402,7.36366360837763,1.0
2015-05-01,3.9232666605994817,94.64176177978516,198.65999784923736,676.7038080124628,2966.5619303385415,11.954449835277739,7.22894287109375,1.0
2015-06-01,4.254809119484642,96.09931772405452,198.7322699806907,690.299091685902,3150.999988902699,12.290386416695334,7.278859095139937,1.0
2015-07-01,3.631052183068317,99.60430443805197,190.09086874256963,669.2995658542799,3313.0913404381795,12.4321056863536,7.618495671645455,1.0
2015-08-01,3.9920429161616733,100.67904772077289,197.5809515090216,695.1028558640253,3507.2476399739585,12.901765777951194,7.977828570774624,1.0
2015-09-01,3.8448817946694116,103.68409070101652,198.43954398415306,691.6090892444957,3630.440906871449,13.62617085196755,10.064663670279764,1.0
2015-10-01,3.7762954343448984,101.26977261629972,198.53726959228516,711.1640930175781,3598.904552112926,13.498597275127064,11.97327271374789,1.0
2015-11-01,3.7975809233529225,100.46571459089007,197.33476039341517,734.3947666713169,3379.1857328869046,14.108499481564476,12.279571396963936,1.0
2015-12-01,3.786639120267785,100.48043524700662,196.16739289656928,731.7178291652514,3313.5608547044835,14.951790809631348,10.75786951313848,1.0
2016-01-01,3.885590462457566,100.64142826625279,196.29095168340774,734.3961937313989,3406.304734002976,16.326696032569522,11.070857093447732,1.0
2016-02-01,3.948433353787377,100.2394761585054,197.06333342052642,736.9166666666666,3388.5333426339284,15.764750117347354,11.283523832048688,1.0
2016-03-01,3.8380825830542524,99.81086896813434,189.25826163913894,743.3404355256454,3321.9608738111415,15.394858235898225,11.29808699566385,1.0
2016-04-01,3.811271383648827,99.54847680954705,198.4799993605841,743.2961919875372,3302.238083612351,14.605648585728236,9.776490393139067,1.0
2016-05-01,3.6831090558658945,99.07804558493875,198.4518182927912,740.8209062056108,3309.1681685014205,15.276965878226541,9.9675818790089,1.0
2016-06-01,3.8735545115037398,99.40009099786931,212.7972738092596,746.9854542125355,3328.245427911932,15.078269178217107,10.690590901808305,1.0
2016-07-01,3.9321190175556002,99.54304686046783,274.71143071992054,753.5061907087054,3340.066650390625,14.42964285895938,9.830404735746837,1.0
2016-08-01,3.9315304341523545,99.61817368217136,321.5821732230808,762.297827679178,3335.1782545006795,13.744143361630647,10.02275218134341,1.0
2016-09-01,3.9427954825488003,99.56327264959162,312.05545460094106,783.4736383611506,3342.254560990767,14.06691685589877,9.918559074401855,1.0
2016-10-01,3.9603285789489746,99.53109523228237,312.95333571661087,790.0342901320685,3397.2523600260415,13.916614850362143,9.861723899841309,1.0
2016-11-01,4.010286363688382,99.90109148892489,315.09090909090907,798.4072709517045,3528.30908203125,13.896324547854336,9.786686463789506,1.0
2016-12-01,4.2237090847708965,100.35977415605025,301.69590897993606,815.202733820135,3555.0227383700285,13.856798605485396,9.793672691692006,1.0
2017-01-01,4.257627270438454,101.8809086192738,314.6731817072088,814.2631780450994,3562.409102006392,13.570056698539041,9.881672729145397,1.0
2017-02-01,4.427255034446716,101.76050033569337,298.88200000524523,815.8114990234375,3541.594970703125,13.1892644405365,9.734570074081422,1.0
2017-03-01,4.518386965212614,101.0126087354577,314.69565217391306,815.53173828125,3557.7521654211955,12.927194719729217,9.549091339111328,1.0
2017-04-01,4.19809501171112,101.53299980163574,314.55,818.1934997558594,3578.144970703125,13.428903913497924,9.412104988098145,1.0
