year_month,year,month,n_tenders,n_lots,total_value,n_lots_one_bid,total_value_one_bid,share_one_bid_num,share_one_bid_value,avg_bids,median_bids,avg_lot_value,median_lot_value,zero_lots_month,outlier_total_value,outlier_share_value
2009-07,2009,7,75,85,14769829.92,6,1415143.8399999999,0.07058823529411765,0.0958131439336168,6.188235294117647,4.0,173762.70494117646,21695.0,0,0,0
2009-08,2009,8,89,122,11334851.59,21,1173300.8199999998,0.1721311475409836,0.10351267598731743,5.319672131147541,3.0,92908.61959016393,8705.5,0,0,0
2009-09,2009,9,101,139,14589553.51,9,439576.91000000003,0.06474820143884892,0.030129565630552326,6.841726618705036,5.0,104960.81661870504,14017.0,0,0,0
2009-10,2009,10,99,150,10476416.33,23,1664753.06,0.15333333333333332,0.15890482084344582,4.78,4.0,69842.77553333333,7443.5,0,0,0
2009-11,2009,11,110,150,12825675.44,25,1858841.48,0.16666666666666666,0.14493127388852747,4.493333333333333,4.0,85504.50293333334,12022.0,0,0,0
2009-12,2009,12,135,210,12809866.549999999,45,532467.06,0.21428571428571427,0.041566948252087774,3.8904761904761904,3.0,60999.36452380952,6206.0,0,0,0
2010-01,2010,1,71,102,12093457.48,15,793904.76,0.14705882352941177,0.06564745948897982,5.450980392156863,3.0,118563.30862745098,11920.5,0,0,0
2010-02,2010,2,46,80,3870593.41,9,131362.0,0.1125,0.03393846526494241,5.475,4.0,48382.417625,8339.0,0,0,0
2010-03,2010,3,68,105,9356813.34,11,687229.53,0.10476190476190476,0.0734469637287859,4.809523809523809,4.0,89112.508,12180.0,0,0,0
2010-04,2010,4,86,109,10878775.83,11,1890858.42,0.10091743119266056,0.17381169072219038,5.669724770642202,4.0,99805.2828440367,22031.0,0,0,0
2010-05,2010,5,82,125,12362631.87,21,860915.74,0.168,0.06963854857549844,5.408,4.0,98901.05496,14981.0,0,0,0
2010-06,2010,6,87,124,13725583.8,17,710028.5,0.13709677419354838,0.05173029507131055,5.975806451612903,4.0,110690.19193548388,12111.0,0,0,0
2010-07,2010,7,114,148,10325820.15,26,2554393.02,0.17567567567567569,0.24737918953585492,4.587837837837838,3.0,69769.05506756758,13144.0,0,0,0
2010-08,2010,8,122,158,9675178.26,27,1468420.78,0.17088607594936708,0.1517719612537661,4.120253164556962,3.0,61235.30544303797,16766.0,0,0,0
2010-09,2010,9,109,178,8491847.42,40,1894538.99,0.2247191011235955,0.2231009221312646,3.848314606741573,3.0,47707.00797752809,11987.5,0,0,0
2010-10,2010,10,128,176,11873410.87,38,3808255.3,0.2159090909090909,0.32073810480374626,3.539772727272727,3.0,67462.56176136363,15305.0,0,0,0
2010-11,2010,11,124,204,11048121.9,86,1717274.33,0.4215686274509804,0.15543586009853855,2.735294117647059,2.0,54157.46029411765,7057.5,0,0,0
2010-12,2010,12,113,163,7009888.04,30,3464922.0,0.18404907975460122,0.4942906334920579,3.6932515337423313,3.0,43005.44809815951,8275.0,0,0,0
2011-01,2011,1,68,171,18182690.7,50,2326765.0,0.29239766081871343,0.12796593410677112,3.2923976608187133,2.0,106331.52456140351,14927.0,0,0,0
